Year;Rank;Country;Documents;Citable.documents;Citations;Self.Citations;Citations.per.Document;H.index
1996;54;Morocco;818;815;10630;1543;13;117
1996;55;Cuba;737;735;7825;1673;10,62;115
1996;56;Kenya;632;626;14552;2157;23,03;165
1996;57;Kuwait;584;580;6295;922;10,78;100
1996;58;Estonia;577;572;11367;2029;19,7;162
1996;59;Colombia;559;555;10275;1125;18,38;169
1996;60;Indonesia;538;534;9948;816;18,49;140
1996;61;Bangladesh;510;500;6136;889;12,03;124
1996;62;Lithuania;492;490;6206;1037;12,61;133
1996;63;Puerto Rico;459;459;12565;820;27,37;156
1996;64;Philippines;448;445;10785;1184;24,07;147
1996;65;Tunisia;438;433;3646;966;8,32;109
1996;66;Jordan;437;437;4295;696;9,83;102
1996;67;Armenia;404;403;2997;400;7,42;126
1996;68;Uzbekistan;396;396;1118;180;2,82;64
1996;69;Algeria;369;369;4209;599;11,41;97
1996;70;United Arab Emirates;359;349;5111;467;14,24;112
1996;71;Latvia;354;352;4219;715;11,92;104
1996;72;Zimbabwe;347;341;4725;570;13,62;90
1996;73;Iceland;308;303;11603;1084;37,67;198
1996;74;Viet Nam;298;294;4657;708;15,63;133
1996;75;Uruguay;260;254;6216;869;23,91;124
1996;76;Costa Rica;257;257;4510;623;17,55;127
1996;77;Ethiopia;257;257;3826;700;14,89;88
1996;78;Kazakhstan;253;251;1835;105;7,25;64
1996;79;Azerbaijan;248;248;927;238;3,74;58
1996;80;Georgia;244;243;2228;424;9,13;101
1996;81;Moldova;244;244;1297;238;5,32;74
1996;82;Tanzania;241;239;5062;743;21;113
1996;83;Lebanon;207;204;3492;274;16,87;122
1996;84;Senegal;201;198;3175;514;15,8;89
1996;85;Sri Lanka;192;181;2341;217;12,19;107
1996;86;Cameroon;178;177;2303;468;12,94;85
1996;87;Ghana;174;170;2551;291;14,66;92
1996;88;Peru;170;167;2983;290;17,55;140
1996;89;Jamaica;166;163;2812;273;16,94;71
1996;90;Oman;160;159;2027;174;12,67;83
1996;91;Cyprus;150;150;3857;252;25,71;113
1996;92;Uganda;139;133;2654;384;19,09;118
1996;93;Papua New Guinea;132;130;1524;203;11,55;66
1996;94;Macedonia;124;119;2302;175;18,56;74
1996;95;Bahrain;113;109;638;54;5,65;48
1996;96;Syrian Arab Republic;111;110;2847;260;25,65;74
1996;97;Côte d'Ivoire;106;106;1248;109;11,77;82
1996;98;Ecuador;99;95;2215;160;22,37;100
1996;99;Trinidad and Tobago;98;96;1243;126;12,68;72
1996;100;Sudan;96;96;1133;176;11,8;65
1996;101;Botswana;94;94;1295;190;13,78;71
1996;102;Iraq;94;94;1005;66;10,69;51
1996;103;Malawi;94;90;3257;258;34,65;97
1996;104;Nepal;91;89;1315;171;14,45;87
1996;105;Panama;84;83;3977;329;47,35;128
1996;106;Zambia;84;79;821;92;9,77;83
1996;107;Gambia;76;70;2331;216;30,67;90
