"";"AGE";"SEXE";"REGION";"STAT_MARI";"SAL_HOR";"SYNDICAT";"CATEGORIE";"NIV_ETUDES";"NB_PERS";"NB_ENF";"REV_FOYER"
"211";29;"M";"W";"M";14;NA;"Transports et Service";"Sans diplome";6;4;"< 40"
"212";74;"F";"NW";"D";18;"non";"Employe";"BAC";1;0;"60 - < 100"
"213";23;"F";"S";"M";9;NA;"Employe";"BAC+3";4;2;"< 40"
"214";46;"F";"NE";"D";NA;"oui";"Employe";"BAC+2";4;2;"< 40"
"215";35;"F";"NW";"V";10;NA;"Production et Agriculture";"BAC+2";3;1;"< 40"
"216";51;"M";"NW";"M";36;NA;"Construction et Maintenance";"BAC";2;0;">= 100"
"217";54;"M";NA;NA;NA;NA;NA;NA;2;NA;NA
"218";21;"M";"W";"C";10;"non";"Transports et Service";"BAC";4;0;"< 40"
"219";45;"M";"NE";NA;19,5;NA;"Gestion et Vente";"BAC";2;0;"< 40"
"220";24;"M";"NW";"C";10,75;"non";"Transports et Service";"BAC";2;0;"40 - < 60"
"221";58;"M";NA;"M";33,9;NA;"Construction et Maintenance";"BAC";2;0;">= 100"
"222";55;"F";"S";NA;NA;NA;NA;NA;NA;0;"60 - < 100"
"223";63;"F";"S";"M";24,45;NA;"Gestion et Vente";"BAC+3";4;0;">= 100"
"224";58;"M";"NE";"C";11,1;NA;"Transports et Service";"BAC";1;0;"< 40"
"225";67;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"226";24;"F";"S";"M";10;"non";"Employe";"BAC";4;2;"< 40"
"227";33;"M";"NE";"M";NA;NA;"Employe";"BAC";3;1;"< 40"
"228";32;"F";"NE";"M";11;"non";"Employe";"BAC";4;2;"40 - < 60"
"229";61;"F";"W";"D";25,5;NA;"Employe";"BAC+3";1;0;"60 - < 100"
"230";45;"F";"S";"C";10,75;NA;"Transports et Service";"BAC+2";1;0;"< 40"
"231";20;"F";"NW";"M";2,25;"non";"Transports et Service";"BAC+2";4;1;"< 40"
"232";42;"F";"S";"C";45;NA;"Profession liberale";"BAC+5";2;0;">= 100"
"233";42;"F";"S";"C";22,3;NA;"Employe";"BAC";2;0;"40 - < 60"
"234";41;"F";"W";"M";13,75;"non";"Transports et Service";"BAC";3;0;"60 - < 100"
"235";23;"F";"NE";"C";13;"non";"Employe";"BAC+3";3;0;">= 100"
"236";43;"F";"S";"M";10,5;NA;"Transports et Service";"BAC";3;1;"60 - < 100"
"237";23;"M";"W";"C";10;NA;"Profession liberale";"BAC";1;0;"< 40"
"238";56;"M";"W";"M";29,5;"oui";"Profession liberale";"BAC";2;0;"40 - < 60"
"239";37;"F";"NE";"C";11,5;"non";"Employe";"BAC+3";1;0;"40 - < 60"
"240";34;"M";"S";"C";7;NA;"Construction et Maintenance";"Sans diplome";2;0;"60 - < 100"
"241";48;"M";"NE";"M";12,5;NA;"Transports et Service";"BAC";3;1;"< 40"
"242";18;"F";"NE";"C";NA;"non";"Profession liberale";NA;6;0;">= 100"
"243";31;"F";"S";"M";15;NA;"Gestion et Vente";"BAC+2";4;2;"60 - < 100"
"244";23;"M";"W";"M";NA;NA;"Gestion et Vente";NA;2;0;"< 40"
"245";27;"M";"S";"D";20;"non";"Production et Agriculture";"BAC+2";4;2;"< 40"
"246";51;"M";"S";"C";11;"non";"Transports et Service";"Sans diplome";4;1;"< 40"
"247";37;"F";"W";"C";25;"non";"Transports et Service";"BAC";3;2;"40 - < 60"
"248";61;"F";"NW";"M";21;NA;"Profession liberale";"BAC";2;0;">= 100"
"249";49;"F";"NW";NA;NA;"non";NA;"BAC";2;NA;NA
"250";27;"M";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251";62;"M";"S";"M";32;NA;"Profession liberale";"BAC+3";2;0;">= 100"
"252";22;"M";"W";"C";NA;NA;"Employe";"BAC";4;0;"40 - < 60"
"253";51;"M";"NE";"D";20;NA;"Construction et Maintenance";"BAC";2;0;"60 - < 100"
"254";65;"F";"NE";"M";15,12;NA;"Employe";"BAC";2;0;">= 100"
"255";31;"M";"S";"C";12,5;"non";"Profession liberale";"BAC+3";1;0;"60 - < 100"
"256";35;"M";"NE";"C";NA;NA;"Profession liberale";"BAC+3";1;0;"< 40"
"257";21;"F";"S";"C";7,25;"non";"Profession liberale";"BAC";3;0;"< 40"
